P3 Topp 300%1964 till 2024;;;
1974;244. Be Thankful For%What You've Got;William Devaughn;https://open.spotify.com/track/5g2sPpVq3hdk9ZuMfABrts?si=
2013;243. Dance Again;Kite;https://open.spotify.com/track/4qqSJVPkDMK8iEbJrWKwel?si=
1982;242. The Message;Grandmaster%Flash & The%Furious Five;https://open.spotify.com/track/5DuTNKFEjJIySAyJH1yNDU?si=
1971;241. Baba O'Riley;The Who;https://open.spotify.com/track/3qiyyUfYe7CRYLucrPmulD?si=
1981;240. Edge Of Seventeen;Stevie Nicks;https://open.spotify.com/track/7L3b6iaVhDVjfo52Hbvh9Z?si=
1981;239. Ghost Town;The Specials;https://open.spotify.com/track/6ewN9MaFbi78oDLT9wYDgn?si=
1982;238. Africa;Toto;https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX?si=
2000;237. It Takes A Fool%To Remain Sane;The Ark;https://open.spotify.com/track/5S8EZuiSNFR2N5eG58oISQ?si=
2018;236. Honey;Robyn;https://open.spotify.com/track/3olYZQTYOLYNImERBnZZqm?si=
2000;235. Red Dirt Girl;Emmylou Harris;https://open.spotify.com/track/41QWKQjT6riBhHAGYHU9Xu?si=
1971;234. Trubbel;Monica Zetterlund;https://open.spotify.com/track/7xjucUUNrRgwW49fLmU91q?si=
1998;233. Changes;2Pac;https://open.spotify.com/track/1ofhfV90EnYhEr7Un2fWiv?si=
2015;232. Kelly;Amason;https://open.spotify.com/track/3GIuJjQEsabNeAK6ilFQRm?si=
1970;231. Your Song;Elton John;https://open.spotify.com/track/38zsOOcu31XbbYj9BIPUF1?si=
1985;230. Everybody Wants%To Rule The World;Tears For Fears;https://open.spotify.com/track/4RvWPyQ5RL0ao9LPZeSouE?si=
1995;229. Electric;Leila K;https://open.spotify.com/track/1qIhCupn4tcJWCQWoomnv7?si=
1995;228. Born Slippy (Nuxx);Underworld;https://open.spotify.com/track/7xQYVjs4wZNdCwO0EeAWMC?si=
2005;227. Hide And Seek;Imogen Heap;https://open.spotify.com/track/7mMlbJlXXo2mRtQ4R9sIzD?si=
2016;226. One Dance;Drake,%Wizkid,%Kyla;https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0?si=
1994;225. Violet;Hole;https://open.spotify.com/track/6CHENx8iqzMwavTIz8s0gm?si=
1980;224. He Stopped%Loving Her Today;George Jones;https://open.spotify.com/track/1q0wCfrE9eGFMzS2g8aVnx?si=
2012;223. Emmylou;First Aid Kit;https://open.spotify.com/track/2bU3gg0M8GGBs7ItBKsJX9?si=
2007;222. Time To Pretend;Mgmt;https://open.spotify.com/track/4iG2gAwKXsOcijVaVXzRPW?si=
2013;221. Younger;Seinabo Sey;https://open.spotify.com/track/7vHshinTU8161w69EPbabY?si=
1992;220. Harvest Moon;Neil Young;https://open.spotify.com/track/5l9c6bJmzvftumhz4TMPgk?si=
1985;219. West End Girls;Pet Shop Boys;https://open.spotify.com/track/2Di0qFNb7ATroCGB3q0Ka7?si=
1992;218. Nuthin' But%A ”G” Thang;Dr. Dre,%Snoop Dogg;https://open.spotify.com/track/5Tbpp3OLLClPJF8t1DmrFD?si=
1973;217. Piano Man;Billy Joel;https://open.spotify.com/track/70C4NyhjD5OZUMzvWZ3njJ?si=
